Temperatura_[°C],Humedad_relativa_[%],Precipitación_[mm],Velocidad_viento_[km/h],FWI,Riesgo
10.473,63.0,0.0,30.070238,29.23393732452393,Alto
9.422999,73.0,0.3,26.674032,20.816380714416503,Moderado
8.723,73.0,0.3,20.991426,17.123182624816895,Moderado
8.023,77.0,0.1,16.575644,18.773818428039554,Moderado
7.373,81.0,0.0,14.021525,16.625766353607176,Moderado
7.323,74.0,0.0,15.281989,18.261104976654053,Moderado
6.873,64.0,0.0,18.504139,21.494569488525393,Moderado
6.323,62.0,0.0,16.08761,20.147924995422365,Moderado
7.123,61.0,0.0,19.406637,22.441778358459473,Moderado
8.323,54.0,0.0,28.36471,29.094377143859866,Alto
9.473,44.0,0.0,34.32105,34.165459365844725,Muy alto
10.172999,43.0,0.0,38.175278,36.79918281555176,Muy alto
10.373,50.0,0.4,36.50052,29.90423811340332,Alto
10.573,54.0,0.7,35.069984,28.520573974609373,Alto
11.323,48.0,0.1,36.832767,35.39980625915527,Muy alto
11.773,44.0,0.0,37.066017,36.04361903381348,Muy alto
11.623,39.0,0.0,36.860905,36.49432662963868,Muy alto
10.473,45.0,0.0,34.746994,34.369768127441404,Muy alto
9.273,51.0,0.2,33.31508,27.682014694213866,Alto
8.773,53.0,0.0,30.05515,30.322619995117186,Alto
8.123,54.0,0.0,28.162956,28.95484782409668,Alto
7.773,52.0,0.0,27.021591,28.439008712768555,Alto
6.123,60.0,0.0,27.72,27.8655835647583,Alto
5.4230003,62.0,0.0,25.241108,25.999577529907228,Alto
5.023,64.0,0.0,24.933735,25.546429260253902,Alto
4.4729996,67.0,0.0,25.050413,25.241170036315918,Alto
4.1730003,68.0,0.0,23.97989,24.419353706359864,Alto
3.923,68.0,0.0,21.218632,22.62910284805298,Moderado
3.723,73.0,0.0,18.532133,20.299397720336913,Moderado
3.873,71.0,0.0,17.873556,20.118474147796633,Moderado
4.123,74.0,0.0,19.469976,20.80456882476807,Moderado
4.4230003,76.0,0.0,21.028437,21.58661722564697,Moderado
5.6730003,70.0,0.0,28.04305,26.87202870941162,Alto
6.773,64.0,0.0,34.292717,31.657613723754878,Alto
8.273,55.0,0.0,37.503983,34.859668746948245,Muy alto
9.172999,51.0,0.0,39.64906,36.75629815673828,Muy alto
10.023,47.0,0.0,42.12154,38.861375793457036,Muy alto
10.573,48.0,0.0,42.015255,38.70132820129395,Muy alto
11.223,49.0,0.1,43.952446,39.862079193115235,Muy alto
10.373,55.0,0.1,43.6551,38.921789550781256,Muy alto
11.422999,51.0,0.2,45.66469,35.738363113403324,Muy alto
11.073,54.0,0.1,45.725666,40.40683293151855,Muy alto
11.223,53.0,0.0,43.118923,38.85329051208496,Muy alto
11.073,53.0,0.0,43.17149,38.87994337463379,Muy alto
10.023,57.0,0.0,41.71342,37.41854702758789,Muy alto
9.223,58.0,0.0,38.344646,35.092656295776365,Muy alto
8.573,63.0,0.0,38.526726,34.58871539306641,Muy alto
8.023,65.0,0.1,37.600616,33.72990098571778,Muy alto
7.9729996,60.0,0.0,36.61573,33.68323428344726,Muy alto
7.623,63.0,0.1,33.851486,31.53226112365723,Alto
7.123,68.0,0.7,34.882866,26.582469650268553,Alto
6.873,71.0,0.2,32.854805,24.91039842224121,Alto
6.9729996,65.0,0.0,30.85307,29.334080612182614,Alto
6.873,69.0,0.1,29.59235,28.045377410888673,Alto
