FECHA;HORA;AUTOPISTA;BANDA y/o RAMAL;PK;CONDICIONES METEOROLÓGICAS;SUPERFICIE DE LA VIA;LESIONADOS;FALLECIDOS;TIPO DE SINIESTRO;MOTO;LVIANO;BUS;CAMION
12/12/2024;15;AU DELLEPIANE;ASCENDENTE;3800;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;2;0;0
13/12/2024;6;AU DELLEPIANE;ASCENDENTE;2700;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
13/12/2024;15;AU 25 DE MAYO;DESCENDENTE;1000;BUENO;SECA;0;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
13/12/2024;19;AV. LUGONES;DESCENDENTE;9900;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
14/12/2024;6;AU FRONDIZI;ASCENDENTE;1400;BUENO;SECA;2;0;COLISION CON OBSTACULO FIJO;0;1;0;0
14/12/2024;9;DIST. 9 DE JULIO;RAMAL 3;-;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;1;0;0;0
15/12/2024;5;AU 25 DE MAYO;ASCENDENTE;3700;BUENO;SECA;1;0;COLISION CON OBSTACULO FIJO;1;0;0;0
15/12/2024;6;TRANSICION RAMAL 2;RAMAL DE ENLACE;-;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
15/12/2024;7;AV. CANTILO;ASCENDENTE;10300;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0
16/12/2024;12;AU DELLEPIANE;ASCENDENTE;2900;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;0
16/12/2024;13;AU DELLEPIANE;ASCENDENTE;2900;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;4;0;0
16/12/2024;17;PASEO DEL BAJO;DESCENDENTE;6500;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;0;0;1
17/12/2024;7;AU PERITO MORENO;ASCENDENTE;5400;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0
17/12/2024;10;AU DELLEPIANE;ASCENDENTE;2000;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
17/12/2024;13;AU DELLEPIANE;ASCENDENTE;1500;BUENO;SECA;2;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
17/12/2024;15;AU 25 DE MAYO;ASCENDENTE;800;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
17/12/2024;18;AU PERITO MORENO;ASCENDENTE;5400;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;0;0;1
17/12/2024;20;AU PERITO MORENO;DESCENDENTE;3300;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
18/12/2024;13;TRANSICION RAMAL 3;RAMAL DE ENLACE;-;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;0;0;0
18/12/2024;13;AU DELLEPIANE;ASCENDENTE;2500;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;0
18/12/2024;17;AU 25 DE MAYO;DESCENDENTE;7100;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
18/12/2024;19;AU FRONDIZI;DESCENDENTE;1500;BUENO;SECA;3;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0
19/12/2024;0;AV. LUGONES;DESCENDENTE;10300;BUENO;MOJADA/HUMEDA;1;0;COLISION CON OBSTACULO FIJO;0;1;0;0
19/12/2024;4;AV. LUGONES;DESCENDENTE;10300;LLUVIOSO;MOJADA/HUMEDA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0
19/12/2024;10;AU DELLEPIANE;ASCENDENTE;2500;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
19/12/2024;14;AV. CANTILO;ASCENDENTE;7800;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;0;0;1
19/12/2024;15;AU 25 DE MAYO;ASCENDENTE;6700;BUENO;SECA;2;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
19/12/2024;16;AV. LUGONES;DESCENDENTE;6500;BUENO;SECA;1;0;OBSTACULO NO FIJO;1;0;0;1
19/12/2024;19;AU 25 DE MAYO;DESCENDENTE;4000;BUENO;SECA;0;0;OBSTACULO NO FIJO;1;1;0;0
20/12/2024;12;AU PERITO MORENO;ASCENDENTE;5400;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;0;0;1
20/12/2024;20;PASEO DEL BAJO;DESCENDENTE;6500;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1
21/12/2024;1;AU 25 DE MAYO;DESCENDENTE;900;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0
21/12/2024;11;AU ILLIA;DESCENDENTE;2800;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
21/12/2024;11;AU DELLEPIANE;ASCENDENTE;2400;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
21/12/2024;20;AU 25 DE MAYO;ASCENDENTE;600;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;0
22/12/2024;3;AU DELLEPIANE;ASCENDENTE;2300;BUENO;SECA;2;0;COLISION CON OBSTACULO FIJO;0;1;0;0
22/12/2024;12;AU DELLEPIANE;DESCENDENTE;3100;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;0;0;1
23/12/2024;9;AU 25 DE MAYO;DESCENDENTE;7000;BUENO;SECA;2;0;OBSTACULO NO FIJO;0;2;0;0
23/12/2024;11;AU DELLEPIANE;ASCENDENTE;1500;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;0
23/12/2024;16;AU 25 DE MAYO;DESCENDENTE;7500;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
23/12/2024;17;AU ILLIA;ASCENDENTE;3700;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
23/12/2024;17;AU 25 DE MAYO;ASCENDENTE;8700;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;1
25/12/2024;1;AU DELLEPIANE;ASCENDENTE;4400;BUENO;SECA;1;0;COLISION CON OBSTACULO FIJO;1;0;0;0
25/12/2024;3;AU DELLEPIANE;ASCENDENTE;300;BUENO;SECA;1;0;COLISION CON OBSTACULO FIJO;0;1;0;0
25/12/2024;11;AU DELLEPIANE;ASCENDENTE;1200;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
26/12/2024;9;AV. LUGONES;DESCENDENTE;9800;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
27/12/2024;3;AU 25 DE MAYO;ASCENDENTE;9200;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
27/12/2024;9;TRANSICION RAMAL 2;RAMAL DE ENLACE;-;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;2;0;0;0
27/12/2024;9;AU DELLEPIANE;DESCENDENTE;3200;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
27/12/2024;22;AU 25 DE MAYO;ASCENDENTE;8500;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;0;4;0;0
29/12/2024;13;AU PERITO MORENO;DESCENDENTE;1300;BUENO;SECA;2;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
30/12/2024;9;AU 25 DE MAYO;DESCENDENTE;2300;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;0;1;2
30/12/2024;17;AU 25 DE MAYO;DESCENDENTE;2800;BUENO;SECA;1;0;OBSTACULO NO FIJO;1;1;0;0
31/12/2024;7;TRANSICION RAMAL 3;RAMAL DE ENLACE;-;BUENO;SECA;1;0;COLISION CON OBSTACULO FIJO;1;0;0;0
31/12/2024;7;TRANSICION RAMAL 3;RAMAL DE ENLACE;-;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
