Temperatura_[°C],Humedad_relativa_[%],Precipitación_[mm],Velocidad_viento_[km/h],Riesgo
6.773,64.0,0.0,35.63818,Muy alto
7.2229996,62.0,0.0,37.550602,Muy alto
8.073,58.0,0.0,37.16553,Muy alto
8.473,57.0,0.0,36.764088,Muy alto
9.823,50.0,0.0,38.921646,Muy alto
10.172999,47.0,0.0,41.815826,Muy alto
9.422999,53.0,0.1,39.70459,Muy alto
9.223,56.0,0.2,38.803257,Alto
10.523,47.0,0.0,45.05181,Muy alto
9.373,56.0,0.0,43.893436,Muy alto
9.172999,59.0,0.1,39.160656,Muy alto
9.223,55.0,0.0,40.03938,Muy alto
8.373,60.0,0.1,41.798775,Muy alto
8.523,55.0,0.0,40.155735,Muy alto
8.323,59.0,0.0,36.57855,Muy alto
7.7229996,61.0,0.0,37.137627,Muy alto
7.573,64.0,0.0,35.11061,Muy alto
7.4729996,67.0,0.0,34.763775,Alto
7.323,69.0,0.0,31.487143,Alto
6.9729996,72.0,0.1,34.45484,Alto
7.623,71.0,0.1,41.0621,Muy alto
7.7229996,70.0,0.0,40.732533,Muy alto
7.873,67.0,0.1,41.085762,Muy alto
7.773,70.0,0.3,37.67637,Alto
8.073,71.0,0.3,37.029285,Alto
8.823,65.0,0.0,38.96158,Muy alto
10.672999,58.0,0.0,44.33265,Muy alto
11.422999,57.0,0.0,45.9448,Muy alto
11.623,56.0,0.0,46.862267,Muy alto
10.973,65.0,0.3,44.61967,Muy alto
10.073,69.0,0.9,41.305977,Alto
9.672999,71.0,0.8,39.575443,Alto
9.323,74.0,1.0,35.110615,Alto
9.422999,73.0,1.1,34.03476,Alto
10.573,69.0,0.4,33.01418,Alto
10.223,71.0,0.6,30.10685,Moderado
9.422999,79.0,1.9,23.664352,Moderado
9.073,84.0,2.1,19.770523,Moderado
9.123,83.0,1.4,18.584509,Bajo
9.373,81.0,0.2,21.382906,Moderado
9.623,81.0,0.2,21.94524,Moderado
9.973,80.0,0.0,22.545315,Moderado
10.073,82.0,0.0,25.872456,Alto
9.672999,81.0,0.0,27.859905,Alto
8.823,75.0,0.0,26.980793,Alto
8.323,79.0,0.0,21.659916,Moderado
8.323,84.0,0.0,19.083395,Moderado
8.473,81.0,0.0,21.479664,Moderado
9.422999,78.0,0.0,23.47741,Moderado
10.823,71.0,0.0,28.296091,Alto
12.323,58.0,0.1,25.460934,Alto
13.172999,54.0,0.0,30.551254,Alto
13.823,50.0,0.1,34.131718,Muy alto
14.323,50.0,0.2,37.952263,Alto
14.473,50.0,0.2,42.73702,Muy alto
13.672999,52.0,0.2,42.505924,Muy alto
12.223,62.0,1.0,41.48912,Alto
12.473,49.0,0.3,40.691147,Muy alto
11.422999,47.0,0.0,41.705654,Muy alto
10.073,53.0,0.1,37.801712,Muy alto
9.172999,55.0,0.1,34.207577,Muy alto
7.9230003,54.0,0.0,32.91983,Muy alto
6.1730003,57.0,0.0,33.933697,Muy alto
5.1730003,60.0,0.0,30.676142,Alto
4.7229996,60.0,0.0,27.36947,Alto
4.4230003,62.0,0.0,25.006397,Alto
4.1730003,64.0,0.0,24.36591,Alto
3.773,66.0,0.0,23.400002,Alto
3.723,69.0,0.0,20.275385,Moderado
3.473,71.0,0.0,19.809813,Moderado
3.273,73.0,0.0,18.720001,Moderado
3.523,72.0,0.0,20.991426,Moderado
4.623,63.0,0.0,26.072052,Alto
5.7229996,56.0,0.0,30.312773,Alto
6.7229996,52.0,0.0,29.723444,Alto
7.4729996,53.0,0.3,31.875755,Alto
8.173,50.0,0.2,31.193535,Alto
9.273,47.0,0.2,33.3559,Alto
9.523,45.0,0.4,33.70377,Alto
9.473,47.0,0.4,34.17157,Alto
10.023,44.0,0.3,35.78697,Alto
9.922999,44.0,0.3,34.936695,Alto
9.573,45.0,0.3,33.841915,Alto
9.123,47.0,0.2,31.32207,Alto
8.573,49.0,0.1,29.522196,Alto
7.7229996,51.0,0.0,27.757376,Alto
6.7229996,58.0,0.0,28.1169,Alto
5.9230003,62.0,0.0,25.325686,Alto
5.4230003,66.0,0.0,22.805367,Moderado
5.073,70.0,0.0,21.862406,Moderado
4.6730003,74.0,0.0,21.659916,Moderado
4.573,76.0,0.0,21.603,Moderado
4.6730003,74.0,0.0,19.813087,Moderado
4.7229996,77.0,0.0,20.774214,Moderado
4.7229996,79.0,0.0,19.826164,Moderado
5.023,78.0,0.0,20.570463,Moderado
5.9729996,72.0,0.0,24.696104,Alto
6.6730003,70.0,0.1,27.475807,Alto
8.373,62.0,0.3,31.122828,Alto
8.823,60.0,0.9,31.981293,Alto
9.672999,60.0,0.2,32.651028,Alto
10.823,55.0,0.3,34.574997,Alto
11.172999,55.0,0.5,35.603615,Alto
11.273,55.0,0.3,36.386723,Alto
9.922999,65.0,0.9,42.120003,Alto
11.422999,57.0,0.1,38.82162,Muy alto
10.773,58.0,0.6,38.37843,Alto
10.172999,58.0,0.4,35.27449,Alto
9.623,53.0,0.0,34.114628,Muy alto
8.973,52.0,0.0,30.36403,Alto
8.223,56.0,0.0,29.01743,Alto
7.073,61.0,0.0,25.932495,Alto
6.523,60.0,0.0,26.019806,Alto
5.873,61.0,0.0,24.798223,Alto
5.273,63.0,0.0,24.098497,Alto
4.623,67.0,0.0,22.314194,Moderado
4.6730003,71.0,0.0,21.99538,Moderado
4.6730003,66.0,0.0,24.1388,Alto
4.4230003,66.0,0.0,23.491207,Alto
4.323,66.0,0.0,22.79684,Moderado
4.823,62.0,0.0,24.717085,Alto
5.573,57.0,0.0,27.595823,Alto
